"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
234203,20507,21856,31583,25985,7638,2524,86157,2
559188,42468,11942,16460,25443,5110,1858,90201,
1677050,10838,15207,20967,16440,3960,1482,142724,
364851,32273,15222,22441,22175,9957,5426,119940,
671098,46863,12359,7811,22175,6438,1273,218651,
1199041,158605,245438,550833,148051,38335,18119,1320558,
2034399,410473,114254,388715,125605,47577,34305,1447123,
631234,49634,26476,51671,44448,8477,8684,97664,
650482,32311,31793,38491,46535,3966,5045,177244,
158190,22741,3863,7774,5545,1324,464,27717,
446275,38128,32263,20595,53761,9464,3810,191924,
2805076,73668,45168,157333,39262,13691,7826,453080,
1926686,57529,81175,87929,22942,5106,6229,68605,
836928,20244,24437,25875,47723,7056,1377,96223,
1815125,80876,172936,81192,95645,81037,14565,524490,
708891,11732,34725,30581,17501,7029,2120,86709,
733709,5615,6425,18270,7963,2354,758,75251,
1152114,296705,86446,11660,78570,26299,48909,444392,
13542,10421,6220,7252,10532,1173,1185,136086,
505867,127167,69940,271159,19959,20047,8570,704950,
1021038,28554,21090,28885,14620,5245,1931,23695,
89595,2097,2443,3238,3053,750,140,14449,
1147820,22286,23978,28543,18163,5927,3648,83651,
940742,65643,23043,1616,46656,34321,2403,259926,
1826233,71461,51347,58651,48194,17329,7609,214676,
1801514,46285,62534,35893,40175,10414,2832,144069,
761049,18333,10111,11952,20579,1746,2016,30243,
791771,25667,35109,61329,27797,5441,2704,138951,
543316,30871,42623,54595,30180,4742,6191,99124,
727387,9414,13773,1602,21126,4291,542,76813,
