"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
217722,10095,16377,37687,16302,7629,5328,61012,1
1479433,12793,10677,74168,44802,3398,6339,443850,
1584252,10313,8027,23775,3042,3533,1564,34812,
155544,12736,7082,22456,31417,10452,3635,66169,
248111,10934,19696,21322,9245,8473,4848,168564,
383924,22134,13001,13310,22633,6871,2445,50385,
17334,5190,3626,8361,2746,1623,1253,71808,
56489,35970,18265,44169,7667,7699,4633,19412,
768186,16916,30833,7249,22600,9811,3506,77354,
149888,17429,9317,10164,10960,4703,2062,70525,
624100,21269,13061,79114,11743,14397,3331,160603,
1957574,15397,2677,2769,2693,1844,1094,38315,
14364,5107,10080,11213,29991,3717,2258,70629,
1351882,22197,16841,8666,25472,3811,2526,52211,
167842,9741,17859,7571,13340,8218,7236,51406,
87904,21472,13292,15939,19549,10858,1906,71676,
372265,28234,11743,29522,15374,4081,6644,76697,
588924,3386,2171,4681,2166,1319,454,26846,
1215851,10825,39918,10588,10849,9714,5931,183777,
234886,5996,5890,7390,7601,3501,738,27431,
1142707,7850,4318,9381,4533,1454,717,38786,
2510839,28053,3639,5815,13098,4212,1454,29879,
1169815,34746,47849,102949,8056,4779,7634,259644,
923433,50452,11539,60839,9435,12582,13315,293078,
997640,39218,15756,22843,53603,5726,3087,178154,
2433907,33714,5565,8650,16481,2585,1382,85232,
1769006,46603,73543,9590,38339,35454,10665,196469,
1397981,26023,23245,5494,54455,15901,3221,95768,
195270,52242,41232,14967,28766,12066,2658,211507,
644052,15794,11854,2413,8868,2406,2316,62291,
