"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
528589,111761,225452,69178,139695,56896,17632,969867,2
787786,30152,11099,65167,5751,2649,1858,193362,
1591648,157472,74997,104179,50061,33582,11722,208262,
1912384,8907,38863,82949,49468,7507,2932,236986,
832028,6873,8239,10340,3663,673,992,62530,
2311660,267452,159641,266908,109575,46588,23267,1492358,
1176815,28552,28131,39815,23088,4264,3265,132566,
1101282,47329,32901,21750,19592,8058,4367,262901,
1229180,39499,22599,37446,20730,10991,6720,134304,
588158,38928,16472,34553,50923,18504,2850,124190,
41950,7960,2508,6089,4209,1290,614,23037,
135583,10373,3409,4992,8174,1338,922,61717,
1733674,33640,81739,233474,56909,3263,6140,186052,
155474,4803,2664,6850,3994,580,417,11915,
503765,7239,6213,7251,13372,1038,494,58186,
1527247,47595,10810,50809,8515,9214,1083,238627,
634082,182815,160814,106663,79176,40162,21330,1272984,
373234,24326,18147,10944,7877,2822,2216,22622,
1897544,108585,33249,9795,41667,8392,2618,298757,
328018,30448,28151,19908,21456,9681,4170,155971,
1906515,132245,79306,189584,86372,20093,6377,319254,
745118,50604,18286,8245,11636,8228,790,142062,
701537,33388,19846,31116,54262,5888,1636,40486,
929963,38901,48545,12039,22045,10371,3295,146665,
1369765,73357,48835,91386,31812,23025,4625,133010,
1797242,4927,7173,28497,5831,1353,1660,93689,
126313,6873,7344,7250,4990,2396,402,106775,
1580625,15436,21770,68923,19744,9053,2657,484826,
1287054,32640,13989,11615,15105,3652,1537,56998,
1568439,99760,45729,20047,16177,8977,2131,65918,
