"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
741488,11914,26047,67995,39341,29500,18636,117990,1
2361286,117499,29770,170972,99988,23055,17761,298604,
877962,11462,39225,11868,59240,13048,5781,257627,
370305,37186,17117,32886,30233,11164,3830,78165,
95905,2363,11270,1681,1121,425,696,15985,
1446400,13620,8431,9521,11943,1677,1474,119569,
1131201,39003,5211,62052,26380,4880,2948,87386,
1089163,29271,9835,9272,43892,8218,1965,81308,
66888,8786,2073,5587,16695,2179,225,12376,
116374,10346,4714,2039,8076,1792,232,12576,
94206,3711,3834,11661,3901,4318,426,62190,
196926,13762,14600,39760,29804,9721,2033,71820,
155433,5706,21296,12958,4149,1633,278,23294,
74604,499,2913,1149,459,451,131,7480,
295445,9689,3155,3389,5000,1489,313,63154,
1177839,40051,80979,36720,42486,20494,5335,168599,
514738,37097,45935,17892,5724,11819,2379,163389,
1093960,30756,21868,30779,13247,5599,3456,388661,
1714704,1449,21733,11301,11469,11166,4296,188628,
976043,27742,25687,74445,12313,25434,3270,85999,
620574,16391,41557,11239,4762,24701,2488,32840,
1568895,5100,132926,65533,30841,115335,16525,282035,
57687,336,10032,704,2761,4465,252,52010,
832968,11772,27362,8260,6791,21810,2568,167752,
2499377,11906,59376,14032,1373,20744,5241,136392,
501489,57677,51612,40942,83034,22000,7014,327116,
728621,11739,33157,25206,16628,6945,3870,28821,
315380,9374,135632,45437,27166,147652,9575,139214,
119090,10023,21000,20923,8581,8205,2016,137924,
1327826,5156,64048,20866,10702,24917,1567,17666,
