"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
2013762,36947,11185,23806,24171,3798,1427,174683,2
243230,12469,7455,14662,11782,3334,2586,31614,
949252,14519,9672,4830,15171,2601,1271,52648,
1054771,112132,47873,47099,43569,23351,10312,66785,
213192,12825,12242,14487,5587,3078,830,17095,
897369,105047,17813,119139,28071,22029,32166,258431,
666236,33585,16028,57092,23335,14744,6975,63141,
665258,13084,15758,23388,35197,6804,5399,100827,
717126,23601,36344,128360,49477,29372,13339,578705,
935469,14015,39817,139316,11333,3004,7366,166099,
821911,14566,21808,6241,33270,12923,3721,306117,
1996219,59728,159197,85762,251717,34234,11453,781396,
176627,17688,6994,36028,23102,8693,3096,113719,
565862,21378,9262,11770,30611,4223,1181,22562,
643353,10903,62043,38260,49571,15262,6319,257912,
1455941,23150,19586,14811,17777,9702,1968,198020,
1716009,305927,72327,78429,40530,44987,46605,377351,
507880,27802,19946,33092,9621,4904,2807,154608,
646888,73548,36757,58382,25585,4519,3068,116336,
857595,83699,185772,56324,272784,23999,18343,1722699,
1736730,37409,33775,31952,16880,2750,1417,72687,
1495620,31242,10329,7879,9830,3754,1348,18386,
81059,828,1071,751,971,394,94,5533,
1205492,29778,39617,31095,17704,24969,2910,305202,
135691,23346,46766,90973,13263,8685,5612,54850,
820986,1032,4036,10818,6761,1358,637,15077,
767936,34245,98892,42606,46078,80547,52134,1240158,
91698,4730,13697,59807,17614,3985,1693,8364,
564911,8378,12527,5388,17080,17127,2588,184868,
79126,11423,2590,9761,2793,2183,626,6249,
