"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
212517,29924,17268,10982,53499,9986,1302,71809,1
293078,21165,17172,24548,25755,5392,956,120629,
94464,21978,21422,9253,46026,2752,1668,35335,
1991788,27928,15076,8969,18220,8686,3784,61443,
122053,3313,1441,1255,980,418,249,10336,
457779,33371,44393,43875,12913,15672,4762,48480,
230761,4047,2298,3998,4505,2394,593,29909,
692575,15220,7912,21454,9498,4872,3458,41443,
557008,60773,14723,16825,11152,10327,971,38065,
136860,5215,3687,7185,7691,987,446,4887,
89831,23807,10257,8754,12486,8792,2263,22631,
375598,51407,25825,2344,24803,6783,1972,155889,
111754,8075,24376,24748,30288,6598,3325,173927,
78319,2735,10700,13685,8130,5371,1462,44319,
118285,5649,12409,7280,43088,17304,4820,63557,
27823,28986,21021,57387,12667,8910,1541,15566,
509847,12593,11044,21519,15029,4913,4970,54167,
2005686,7313,3549,31846,7536,1083,1499,98583,
819937,17741,19464,26528,13726,4287,3261,215301,
482508,14981,38780,18477,11750,10788,4589,259255,
166571,7365,19930,24878,16047,5395,4988,56898,
406586,19888,16651,12501,18495,4021,3504,49635,
179535,3103,7595,11849,5956,3656,2186,26007,
220564,2937,7974,5086,2964,3883,2437,36452,
340588,31500,12093,6238,18181,33420,6920,62688,
127495,7726,16201,73193,6480,10151,7919,11435,
308882,38246,55932,25189,56687,16402,6862,130910,
145803,26304,13386,93235,12506,4257,2668,263234,
748469,6897,6386,10112,6125,1593,2788,91151,
56185,25543,23651,47638,14619,4068,4194,11552,
