"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
114986,12991,6999,7275,7255,1211,518,31209,2
638104,12476,3822,2555,1437,741,381,11554,
1110324,68979,70047,180175,28878,24947,4540,424894,
308756,29435,16657,43758,14576,9535,2602,305564,
614481,14060,15150,55375,16643,4173,2380,183280,
1250741,41723,6064,35076,3509,3663,4431,72808,
1860788,82889,9227,64483,25675,4871,2749,124310,
662985,38417,38457,62595,72073,19072,20964,13660,
1716437,74540,113173,78127,100206,25009,6847,469753,
586619,15245,1354,24968,9238,2018,1095,29690,
1865649,13183,13062,31150,26880,7089,2802,124347,
373547,3845,2453,22615,4775,1531,495,19858,
766336,4141,1535,29121,4356,859,654,31085,
205272,1117,1061,6184,8247,1378,695,21071,
2107431,21310,4529,12182,20500,6786,4138,69248,
846304,26708,14710,38126,14266,4283,3024,81442,
1121954,28453,4329,31492,5962,3055,962,21070,
1331220,84473,16520,113045,77862,16737,11405,183105,
253268,3907,7463,28789,29284,7782,1562,475085,
936790,19205,13268,89146,14735,3633,2265,121216,
755805,18674,10485,54848,15709,2271,2335,59045,
950759,1475,2158,4459,2193,1080,743,19456,
605195,24213,7636,48041,14328,2485,2806,289713,
1127552,15943,9196,19430,8914,2526,687,223732,
1670946,79701,26835,31709,68039,6450,2336,226009,
1597830,58111,25773,53930,18948,5786,6132,364242,
1571157,7543,10925,9867,4467,6343,1303,121700,
594612,78303,22342,39811,15256,11872,3638,417547,
900634,5673,2721,5487,6020,374,685,15279,
726427,25904,9480,19540,4378,2495,554,152857,
