"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
681165,6670,8927,32558,6402,3422,1381,55769,1
302064,7401,11402,10780,23333,10049,3747,168223,
655428,80688,21406,59262,23750,8977,9527,494515,
1377647,54957,35712,37919,26585,42585,8528,187283,
1040713,16166,53674,17169,51628,9664,3483,87117,
1861820,8732,3489,11551,7156,3565,1225,78731,
1135301,10335,4984,5068,5756,3745,679,18479,
969173,12498,4848,5070,13505,3767,751,66011,
486570,47599,16394,54262,65847,30191,6816,353901,
780603,11922,7518,6076,5597,5476,1456,119976,
347948,14345,19773,45711,17512,13750,3859,39283,
2092321,18377,18354,18343,64710,7057,3526,338973,
746455,25493,13249,24893,9975,12117,12386,406232,
1442282,60867,4454,84122,12596,4676,3276,316785,
354558,54893,24801,30551,33531,8196,4626,257012,
1118278,8562,29530,88946,44387,24965,3262,193977,
169017,7661,4169,2544,11091,1336,1438,79771,
97695,31289,21681,21466,29831,2808,1774,37532,
733753,36810,27298,21537,20449,5291,1788,99295,
915555,35315,13007,10462,19085,9015,4678,46410,
1837013,40274,24611,10936,29552,10417,6271,276617,
1933045,11799,13667,25270,19152,7939,3016,62745,
892391,17704,18186,37856,15992,6810,6046,126231,
1972805,41434,22105,2800,122620,9157,6124,458382,
185212,29328,12042,7546,11309,3312,2252,102212,
87535,4243,3691,23485,3351,5072,1364,13649,
476452,2813,949,2440,1732,416,216,18929,
140543,5393,5299,4850,6484,3008,673,92610,
671470,9693,11426,12198,9990,2274,6887,37121,
639408,27915,40329,32452,8995,12487,4752,296535,
