"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
1219270,39024,13959,33750,23900,5247,2641,163073,1
1488305,69127,26598,24097,8550,7486,9983,173595,
1140795,4813,6584,3849,4970,3411,1310,35597,
765728,60154,8618,38788,22701,10523,2862,201851,
977657,17583,17788,31854,79917,10685,4715,142037,
430590,8279,5991,14348,23195,6220,2823,27864,
24344,10530,14870,17488,21356,21057,4008,34415,
253558,22179,17260,27509,14817,7595,4142,178459,
78067,7217,12549,16087,10604,3734,4804,34937,
240972,52424,9309,15525,23614,3914,3750,104675,
2306107,64585,19358,11000,15236,10491,3328,330401,
404105,17435,10835,9917,16755,8729,2223,31221,
39716,7639,29746,22758,21730,7352,1628,39501,
58906,22881,11321,17392,25877,4209,5031,54633,
199685,27776,45724,37087,7158,5113,3000,40453,
130958,3001,3294,2318,2493,1480,1052,10103,
102621,7685,4780,3981,4739,1436,653,20009,
227912,26274,14006,1782,16021,5301,4386,185064,
147633,15019,18096,84289,11099,10996,4329,57513,
231906,8890,10544,31029,7621,5068,1829,168980,
496338,9519,6181,900,11224,861,929,30363,
316783,14060,11870,110768,21862,4611,2912,50373,
182310,21095,7728,31498,17759,4459,2457,53744,
67432,5138,6664,6771,4825,1872,1547,87304,
566715,25175,13579,27635,28676,6470,2681,148328,
110728,26625,19353,7978,16443,3915,1895,29415,
2055524,32678,24334,15316,19699,13236,6207,179882,
261257,9221,12802,7283,22510,6910,2398,157293,
507860,9061,25708,20585,38618,4832,8902,304460,
141329,6208,3505,1249,4292,2501,867,6027,
