"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
755300,105998,123725,68313,102603,111774,45803,112936,1
451907,41989,16929,12691,26295,12648,13224,180148,
723342,89874,78919,58069,82528,82963,42026,100389,
1099683,112308,313479,186027,293950,136820,88738,465190,
465534,10193,15073,6340,8182,8945,2559,19281,
333347,13515,18156,997,6999,4266,622,29770,
219639,39157,19125,13028,71546,10807,5031,175804,
510895,19941,6017,29998,9186,2527,470,67674,
2296276,67414,35180,160955,234277,3697,7559,158372,
2363079,67403,118836,17445,235684,20734,8453,252307,
1323828,149232,162184,54897,208943,26860,26522,190125,
220922,44693,22029,50320,20317,15000,8523,79824,
485618,361991,733131,388269,377587,186325,111873,501477,
1297847,11495,13900,18135,17104,3469,2110,59961,
1233146,94721,44403,29649,132504,32407,8019,126343,
48874,5854,940,2275,8811,891,217,50918,
278437,6450,1255,12494,1930,498,175,59147,
2390043,94907,23395,19418,109976,13798,6929,464974,
811172,29157,3582,7581,17037,4542,1737,10074,
456068,56595,39672,88244,93755,8072,5177,121433,
283653,25184,2134,22265,17046,709,554,42992,
1593000,37295,10075,45822,22127,6262,875,81772,
550295,19895,11090,25739,23570,1634,1811,109150,
233819,13998,10027,9688,9387,2105,1273,42640,
1758101,44956,27060,20484,136137,3769,9899,159430,
355297,3867,3122,1149,3335,911,206,18559,
1786736,54202,14733,91958,17496,1728,1592,123702,
187832,22047,14585,14189,31572,1510,750,90754,
910907,26111,8148,26222,10738,4145,1718,137210,
554350,310129,69006,86121,145635,18284,7735,260813,
