"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
1229069,7934,2476,2615,3416,2080,839,52247,2
687226,31810,25506,93116,67988,21502,7341,65442,
713875,15899,59953,71939,26183,23379,3961,116900,
199501,44114,16678,56417,19660,8335,4340,115400,
352716,7835,5290,16107,13633,9266,1894,57043,
1598085,51753,104041,73466,66688,24041,15373,642492,
132394,32716,15797,2802,12499,5338,521,121813,
1784207,150725,156123,182445,300614,32947,20534,587555,
535650,60286,31899,100757,172588,9614,4790,498373,
457070,12650,7914,31670,33859,3841,2272,91336,
1747906,49821,28489,63679,29520,18886,7022,125595,
451502,6991,16038,24573,23657,5727,5378,84351,
1213998,22388,7950,11038,12866,6888,1970,76247,
502094,160222,72892,227595,80553,32063,11873,1528027,
1213194,29182,26793,37143,52061,5570,4720,305284,
552888,8049,2941,829,1227,1381,690,40082,
636300,24804,19262,40663,8945,6664,4119,136743,
972463,26509,24204,7470,10131,6279,4201,126846,
1666009,82372,99240,96141,49077,56230,14010,1068139,
1084797,41688,34699,59030,38167,20009,3366,285961,
108682,1637,3675,20004,9633,4861,461,38706,
2250037,73220,64883,201600,78921,55408,11256,800583,
1936589,69741,209080,61250,134637,22249,8889,190357,
403514,23453,4430,1947,21172,3684,3490,114106,
150054,11903,15307,3772,20047,16373,5165,187742,
894537,14145,4089,3606,12146,2497,2220,13788,
1434539,22369,3803,18892,3647,3119,1755,34712,
220263,4403,6191,22282,10761,2845,544,44039,
2014907,162772,130040,334142,116041,67652,12147,2651096,
95869,24308,9279,18678,13946,2555,511,38383,
