"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
619981,5133,16068,18981,2226,54698,4900,41583,1
557879,5189,21051,14294,4093,25793,3855,29926,
731917,16073,4736,18829,4674,51765,10328,90003,
816347,20416,7571,35404,4463,50243,11607,214725,
251198,952,7559,7824,7562,30679,15797,93195,
1092356,8885,3837,6113,3309,20620,50537,39244,
246510,4321,2588,2128,1029,23565,478,43736,
165139,2211,1585,5450,427,18088,267,13859,
1081860,10847,172810,95134,51091,383633,12174,306850,
154455,8851,7908,40083,16545,62055,2897,60082,
1629908,36808,86769,15315,9503,502586,14506,355273,
896314,3718,53560,25583,11965,32425,1680,181187,
172825,10458,13550,11602,4885,1626,589,33363,
81344,4691,16206,15457,3133,5247,710,57525,
178194,9688,13908,4211,8896,3156,1070,70898,
1318483,13711,73521,34430,11505,12831,4383,312148,
2002017,56858,46643,27797,29865,113351,43847,675235,
564310,6923,11573,7727,5670,47759,17943,41173,
779525,7418,6733,8693,8702,42328,6075,111948,
2306748,39902,31796,17533,14122,32661,6287,71491,
758385,9536,9351,18897,4898,26104,10868,95663,
47402,7228,24948,27593,23525,4178,15393,26582,
118452,17153,37001,13780,14795,19770,29001,30479,
2039899,19971,71142,61376,33664,145396,29831,137435,
1732263,45060,151472,104034,27551,330143,12322,397820,
184073,20008,33782,54219,7202,22029,6874,31617,
946283,32982,389083,122808,29011,145364,27839,280044,
1511032,24351,52082,59972,23676,19317,3148,166086,
1403684,47836,264839,45089,35832,214969,5395,894588,
679103,3391,18560,2408,948,8853,884,21427,
