"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
703793,3459,3492,3943,4362,694,1184,25439,2
1606767,61129,33877,31162,41440,17066,6909,28819,
1154275,21315,5615,34771,84025,11475,2082,53652,
149580,5003,22479,14881,5419,2772,1568,9206,
679845,59311,21708,26928,33785,10423,6000,120323,
1524592,4252,6861,11823,28188,5338,2455,58237,
767544,3446,19069,24564,20136,4154,3150,34408,
654592,20855,5110,6617,2990,1726,460,20916,
463806,10985,7926,15009,4237,3682,3959,38815,
1038780,18547,11584,19753,55665,7326,2610,160625,
533320,22420,4841,1714,19401,6924,1276,15117,
317352,11721,2418,3709,4956,1367,362,19204,
751005,17769,7154,8418,35077,8568,3188,8909,
1303419,17254,26664,1436,57709,33308,3810,242874,
520307,16083,3264,10035,7753,2066,4208,13753,
755509,2703,2769,6906,19963,8946,1190,31797,
1837261,12022,8144,1857,27927,28693,3214,132707,
840203,9089,3408,8858,9949,3195,677,36213,
804928,16301,34824,7741,48394,6860,6017,251889,
1242755,2187,5238,10346,6874,6859,1030,15445,
870714,5344,5889,5039,15454,3260,1085,14475,
1767624,21203,22651,12954,21148,13452,2620,77050,
655441,8227,4924,13101,9012,5487,1428,30442,
60168,431,4262,354,1768,207,114,3800,
845600,2227,3690,1631,3298,1532,238,19881,
907062,8422,6782,7097,4373,2478,592,13711,
559549,7853,5989,790,9146,4075,739,11709,
1941482,28950,27008,1699,77523,20241,8536,59843,
7050,555,7346,424,1677,387,378,5054,
1479292,11288,5721,10074,6129,4673,822,92264,
