"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
1198433,2784,1006,6512,2858,544,609,20929,1
636968,13292,21707,19029,8043,3853,3026,101123,
115475,3133,27446,35179,11638,9638,2790,28995,
508759,16319,14601,24201,14681,5988,2705,61175,
387023,8440,9180,13156,13951,5715,2806,34483,
88195,11788,8294,4882,10662,9159,2184,49749,
342210,10565,14418,28292,14116,3478,5749,207364,
1592112,11621,11867,29570,7301,5345,2548,194553,
48853,871,509,949,282,430,317,1248,
458100,2286,1791,1768,1109,1820,1466,31943,
212538,8318,21073,36245,19695,4875,4822,68301,
63299,8859,3269,3298,7367,1962,861,14599,
661433,5237,4658,21455,4060,2399,1246,32000,
1966412,3927,7864,62832,19047,4095,1745,151221,
165294,30433,3418,5647,7947,1934,393,14483,
60917,46058,13647,4094,19816,5058,5528,129144,
726190,15169,10772,24364,10961,12040,2588,72523,
248635,3081,2801,3049,3716,1720,2003,64202,
229225,9573,12518,13664,16630,15025,5446,26010,
583524,41549,12478,5613,11047,10895,5490,22350,
60966,20979,15238,18768,18113,4971,2418,18833,
32035,3157,29980,45977,14364,8665,3265,25341,
131170,3189,3738,2414,5306,1014,798,22022,
1793540,25973,58705,251047,39065,31933,27159,751251,
35661,2382,2057,4691,2638,1502,773,19199,
1056077,54087,33453,87020,37470,57297,8849,746835,
104478,2478,1136,3542,1210,544,392,19731,
543259,12143,3516,8652,14788,1133,2184,36735,
58797,889,6279,856,2132,568,287,13296,
226380,23338,11537,16305,10192,11747,3713,115633,
