"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
2142581,27412,39899,26379,9466,6782,4242,223052,2
392262,20021,9535,15515,3641,1675,2950,39792,
1692319,144090,96366,79754,173596,44165,28901,205313,
2468568,80469,48470,87437,101221,30227,5917,521520,
1538956,13044,40120,51108,21581,3590,733,38114,
1211068,8257,9955,24485,21990,2564,943,44336,
1273420,5277,4296,14741,3821,739,479,40774,
1206565,57304,54832,26245,39857,10355,5445,173176,
1831540,17843,22365,45856,36610,7949,1685,145008,
1822861,43166,30000,26084,40963,3680,3008,136398,
769909,56573,41601,43347,66075,12549,9792,244688,
781358,40369,27273,47290,100139,5833,3107,326593,
1085506,29510,47805,48475,24491,7251,7559,273192,
911391,6175,6385,9887,7300,2173,433,9409,
1589114,7240,56187,519,57023,13179,8232,133729,
472784,12611,10000,16726,6831,2106,683,36884,
919527,49952,25134,134672,67375,8428,2444,270959,
961117,6989,4709,2178,13321,2319,1625,14592,
207900,7613,10950,8889,6367,2066,1673,28651,
1007006,20184,41807,63919,11793,3292,3500,95340,
1515479,15916,15171,28364,12051,4267,1303,243456,
1055299,13904,14271,30192,43103,4456,1399,125908,
1782759,75558,123923,316853,37441,18867,9958,291244,
202364,25532,53999,15209,51026,25059,2042,122992,
2034482,276545,184304,415852,386822,34756,12388,367192,
723898,47731,20427,26827,30504,3075,1294,157662,
851348,15750,12108,10244,7735,2304,777,52458,
705749,3671,17781,5401,20604,3799,1430,59477,
1137409,7088,12591,20184,19323,5206,2545,31729,
541298,8611,3177,5004,4303,3341,632,33651,
