"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
38420,6792,2734,4668,16296,1680,281,9961,2
1606160,26024,25936,151338,10881,7210,1555,99321,
332020,10690,4924,6369,18788,1698,867,39576,
702554,6890,10932,4285,6843,1111,1102,32378,
1796749,42118,71859,35662,33543,6914,2780,306238,
911062,22285,29546,19150,18872,3976,4029,88094,
1023225,58399,77903,42823,28957,5833,1697,507326,
551514,12297,4112,2337,10893,935,259,23395,
358758,24040,41835,147959,23879,11185,3486,51013,
195680,2394,4525,14758,8897,1079,580,166343,
231185,2427,4050,7714,3768,1206,824,44340,
1703749,102779,240627,104622,77375,33966,9105,395483,
60044,10969,9529,10753,5470,2100,505,18782,
693080,24272,20195,64722,34011,7964,3466,168467,
1301865,82866,49291,61255,25611,9856,2325,127657,
1959589,980037,717767,103982,746726,150442,28829,1830762,
682012,12100,32629,48022,11992,2521,1179,93096,
1000225,18818,26653,14980,70461,3930,2442,138975,
609345,68960,229073,83933,234370,22747,5247,241661,
1904686,141649,84542,164242,111443,64284,12545,263886,
875522,4973,4325,15661,4129,1367,787,53181,
135641,5594,4400,2272,12679,3561,332,16431,
495813,2469,3190,14399,4539,8819,679,18374,
1710901,40190,37518,81090,40041,12597,7978,218710,
183382,15580,20247,17346,9988,6825,2483,66581,
2442389,249493,301202,62793,118723,188679,53702,1169348,
559091,47447,20036,8786,24441,11112,8830,23474,
1217393,11353,39845,108724,32612,10438,1474,172636,
2216277,53594,39369,30995,24935,19408,3850,112994,
1224912,111065,45564,68080,43055,19639,3723,425292,
