"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
1644007,147102,39845,34240,52268,10574,11976,1091574,2
801180,4653,4765,4211,2627,1831,779,41011,
1942505,23016,17906,45204,25301,8557,2559,197906,
419267,2035,6573,2927,7350,983,1970,11619,
1698690,67250,92756,75394,204906,39270,10475,721007,
2158840,33886,48621,112365,61481,15786,5828,146774,
3306058,22451,135287,286374,139938,35711,29868,392424,
299993,6795,1704,2165,7358,536,214,12475,
328932,3889,19044,29867,17880,3365,837,89648,
681461,29608,32459,10005,48105,4027,2587,171547,
530513,26546,8253,9861,9625,1507,1049,76804,
310515,6597,4871,37584,7688,1393,941,17351,
963983,7715,6418,7757,3529,1630,619,77869,
49347,1704,2604,520,1735,716,297,7097,
2181130,48161,31873,113681,48922,15814,3446,160921,
672586,61882,58009,42786,43453,10001,9702,163514,
323570,63729,110454,253496,51748,22993,10775,817195,
1653887,40747,41699,37662,41002,12553,2825,207685,
2050897,67777,73155,150595,22683,30880,8446,246847,
76834,3993,3005,4155,927,828,130,12748,
835583,10168,15688,7175,48337,14686,1286,175706,
94582,5259,15891,5864,13892,10960,986,57865,
127047,11218,5471,1652,2589,2991,887,101726,
1067617,6952,10773,3451,12851,3737,1151,130393,
359290,17245,2165,3475,8430,1320,1192,5996,
807211,14128,9970,13909,3998,2267,453,31229,
1701568,20462,19406,75112,22017,3730,1251,101057,
1513957,25015,33099,27692,13963,9254,1768,426976,
254224,9460,7327,8383,3999,2226,826,130262,
648020,45268,44265,19735,113011,17316,7664,72171,
