"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
1042991,386026,109502,73272,391371,33886,105402,671132,1
590395,92648,30293,49898,24885,18411,4672,318425,
304553,15141,69139,12940,26939,35018,36591,41143,
529994,5351,14470,32542,3430,5549,8974,100919,
418672,20355,5625,86939,8690,9365,3153,84416,
620167,21622,19626,53967,12896,11073,1643,32708,
356034,11094,17891,16785,5131,3199,1981,149005,
285103,92161,41267,93101,53302,10700,2626,163683,
1754258,42326,92402,93260,74959,34440,8231,233858,
411406,12806,27400,9578,22684,24042,12567,44386,
1795798,106640,75866,95343,83740,59805,12232,286379,
2030070,57988,28596,30699,40447,8503,7523,234940,
522012,15986,83475,15629,15431,55863,45751,113569,
309855,32085,8998,57906,25196,15155,25634,72095,
84317,16042,2856,10923,7553,1710,1660,47987,
2423726,10354,34250,44842,26345,5378,2237,59936,
309418,7054,2703,14417,7108,3405,2590,48236,
1034567,145884,60061,56786,107944,35800,11433,185952,
805202,27973,114608,14630,84145,122119,28664,19916,
517452,92726,24611,182671,14871,9228,9232,143111,
1882021,45053,37622,82635,79685,18080,5150,150279,
802384,9111,5318,8085,13564,4837,1694,26799,
665613,2187,1641,969,8997,778,804,12322,
1310935,78658,31318,23971,24177,5923,8520,197496,
518453,41566,13485,31096,37378,11895,10169,336838,
1874798,42122,25083,8281,38701,18791,6195,268050,
178640,3422,6012,20192,10499,3053,1235,108022,
973831,58629,35768,76100,44109,21086,5496,107633,
1185123,49617,30489,153455,60282,15560,10586,183853,
2015310,118938,39706,6626,25649,25995,10354,370688,
