"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
482661,53452,23511,27940,54373,10919,4109,66268,2
663645,1866,5146,15406,5298,2109,1489,72736,
2438773,27662,14412,47346,39244,4683,1668,107037,
1673687,6644,4259,14439,4404,2858,1683,16487,
889648,44454,32440,70203,17624,10785,4769,316386,
610036,7971,4040,6465,12312,3313,907,12582,
945512,25882,16352,19497,14581,1803,1419,72778,
1344352,33104,15197,35522,44448,3943,3680,145505,
62090,2208,1061,1219,3043,1015,149,5731,
1901170,65915,15084,30475,39445,9151,2347,103102,
500701,10258,9370,26215,20422,2624,1935,167447,
963191,44679,12756,9176,12811,7790,5571,113577,
262847,9696,2204,6757,7740,608,967,43453,
1075839,3654,2138,5569,2690,1400,542,29508,
53659,761,288,785,1181,155,342,4383,
192074,9620,1108,2988,6044,2402,749,48399,
425872,6082,1662,1328,4970,624,987,18604,
241456,7884,9916,14210,4228,5176,1422,32137,
205528,8376,1845,6524,2171,2882,632,35781,
707271,50093,11347,19401,6359,4944,730,129024,
142019,3898,1792,1008,2518,716,192,11215,
189524,18560,34718,51204,12634,17840,17780,74306,
2820962,52513,49915,27055,52856,9442,5551,117145,
1805006,37928,26054,139411,14907,7592,8323,162212,
165313,2042,1998,4647,1185,1332,787,16972,
2144787,11041,9381,41926,23287,3727,792,54018,
334187,35176,15198,91615,38579,5001,2773,208657,
648683,30609,12966,23753,8627,4007,1871,36298,
1141188,54304,22788,47599,12896,4928,2993,247432,
236869,1486,2715,4193,11448,614,241,18074,
