"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
285005,1131,4597,11144,3139,962,341,28373,2
2034488,16681,99728,45540,59970,16329,4212,387958,
1689323,135845,67051,95394,39273,81889,13734,625958,
181186,9739,7673,4030,6962,2848,944,145543,
672432,19154,7669,17786,6566,3282,1051,126243,
219573,15155,12235,2736,10120,1510,2364,58562,
1399520,74697,28375,38931,21373,2356,2190,120481,
2828179,175711,96796,204241,100297,28974,10672,2014918,
1617130,19831,39316,27514,24329,3461,1318,194650,
284941,61010,17494,78040,42268,14492,3842,387999,
89674,2581,5569,24047,2848,1211,536,43513,
143053,5490,10567,6671,8196,1378,663,59412,
1652036,30681,45443,22723,37961,5050,5901,411999,
177789,10128,13891,2290,7679,829,709,29928,
594540,8943,4528,2739,9014,1208,636,52560,
1731889,58467,26366,5990,6956,5285,3498,223888,
1777587,68037,32672,68444,70895,8377,2899,182056,
731445,11559,73602,145783,64863,14016,5226,618265,
592286,7387,8320,23672,24816,4559,851,87439,
896512,3663,8337,10028,12745,1173,1842,24126,
1079957,23147,33608,32220,37932,6514,4316,191100,
1386557,33481,29865,31551,56325,10058,3324,358113,
721766,46164,17999,35703,19407,4832,2905,212326,
300368,78816,43167,48569,33011,15726,6948,312642,
1144528,23133,16273,38287,34983,16219,6521,118833,
1088098,64686,33313,22046,20835,8778,1998,156382,
133744,963,8529,8893,3274,1082,586,78941,
1190797,40573,40959,50483,31361,19707,2060,133181,
314341,6350,1511,11820,2390,1978,806,22282,
1028893,28927,7224,9699,8288,2018,731,47120,
