"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
771104,6926,9771,26930,2106,2144,885,48891,1
467136,6397,9390,5935,5267,2760,1971,41984,
263967,49792,15281,35106,29105,7000,2892,303810,
47152,10497,26466,16162,15792,4141,1672,70450,
488786,31152,12675,29914,36394,2399,2164,156398,
251069,20096,16354,6009,19248,3428,2247,92696,
1549654,41361,26013,19820,21506,5709,3069,389632,
473574,27262,53257,32315,15192,17105,5788,48462,
959456,8433,22773,18989,4466,5969,2127,215162,
682971,23347,21648,28196,9428,7631,3675,89012,
946537,27662,29409,32521,16242,6107,3572,133231,
958309,28607,30077,49322,2295,3919,2313,42384,
699263,6710,37495,93810,14415,6360,3744,61958,
180964,880,963,2229,608,240,685,2741,
39998,1266,7000,1427,6128,1290,988,41977,
66779,14095,36711,9784,15689,4198,8064,57647,
197364,62694,26141,57094,12237,12576,2479,67037,
101791,2819,6276,6538,7818,3014,849,31614,
702155,2436,7486,6027,4275,1301,1075,18684,
1197463,22228,33395,36704,25340,12073,2426,279405,
188237,89591,11896,15004,11562,9520,3641,55808,
1075197,14760,15544,33173,31633,7538,8310,43174,
577923,2392,7164,1618,4482,2249,1303,50809,
272813,1323,3473,3559,1998,675,433,47038,
153626,13094,10872,4320,23879,7554,2497,78872,
2072771,17057,13215,40739,28509,9721,2252,315022,
1735684,40176,32042,42256,22785,10867,5805,121250,
1303582,15534,19436,85222,22296,11626,2651,144279,
469626,45930,18652,51950,21620,6714,8270,182398,
439214,20284,13850,22764,41572,14661,5510,207493,
