"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
681338,12727,17849,22135,26979,5153,3609,163127,2
568333,26299,9151,6494,6682,2258,1531,122932,
1353669,104011,18343,22566,32306,12305,3365,121856,
671796,1298,14901,33734,14756,3581,1199,16759,
294892,22399,13991,509,3607,3361,877,20510,
425469,28434,33835,126955,45515,18662,3828,571767,
1659997,22135,9079,22971,4173,2883,718,19285,
1069533,4122,10624,11083,12083,2166,1203,111420,
1162380,47106,39812,25679,22571,11350,4865,219588,
946817,14097,10213,5667,5954,10389,1985,27759,
599328,366114,378195,678576,218542,73412,75308,819040,
412419,8381,8265,28690,24862,3460,1793,87938,
267303,6236,6609,5435,6111,2673,1224,28202,
1355775,39179,35459,30856,13666,13420,3256,88773,
2440810,83775,40928,126239,110634,14974,3297,55449,
1477655,11126,22906,2872,26557,5842,1704,79722,
1653627,38258,19640,25222,7700,6616,2033,12892,
1109536,32541,25422,41317,56536,7256,5156,79332,
458638,3437,3914,6319,5706,1967,883,46774,
491519,33511,22161,79643,9777,7872,1634,142000,
841446,13796,22217,26654,25057,2085,2853,129890,
472499,17157,3708,6058,8145,3643,970,29258,
574300,47803,16914,16696,22279,6181,2450,153140,
1423722,21045,41885,14130,33335,6433,1570,224854,
420624,81868,21075,4280,71905,9448,1297,137191,
753196,58065,38289,7183,102648,9999,2868,111640,
831848,34434,41539,129075,25066,9086,2818,269192,
441932,431,1047,912,591,384,239,4096,
1019707,43282,22015,64273,30590,3441,3417,215559,
644453,13975,7458,11180,4224,4851,1127,161763,
