"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
31813,946,399,1728,1245,150,135,7055,2
1669105,23758,52935,66275,31389,12239,1826,112014,
1271809,170857,75634,41552,18097,20207,9003,388509,
1182529,4328,9396,14337,12702,4088,948,182385,
643016,5752,3284,3453,3275,896,211,31434,
3,0,0,2,0,0,0,3,
1596259,39902,17266,53510,41761,5255,6631,129390,
1986120,56776,12257,20220,29771,3857,692,41905,
1117114,9388,8524,5128,7116,1542,634,41559,
1850257,11941,4068,16005,11207,1839,361,113390,
897227,39142,14044,16101,10237,6048,2577,95061,
2206349,9941,8121,39765,6991,2376,795,100026,
150908,2259,3199,2512,3926,428,193,42818,
696445,10622,13212,43937,11483,4202,1190,220308,
1850786,20728,165956,218240,139433,15866,32616,1007985,
1946875,33278,8099,80225,22165,4596,2035,267319,
938760,20461,2582,8699,5002,1389,814,79892,
2133654,19179,4542,7626,14462,5207,1840,58962,
1379987,248864,140473,59009,262470,41888,13746,220243,
629881,5908,15004,19218,17961,11893,11205,89058,
1308814,16719,5845,20717,13727,2483,2504,23772,
990845,19807,7079,9167,6738,2128,1037,114772,
2627367,7945,25900,92201,10344,7138,8178,123862,
539343,20637,19474,31332,63173,30946,7445,189925,
923493,95912,13997,100901,42273,10842,4241,340617,
623893,14819,3346,33375,7250,1462,907,84647,
992561,147639,181868,219260,136344,47946,11832,779554,
961364,15868,27738,64217,26235,10098,4212,86281,
594736,86100,70169,15253,111541,23006,8593,376115,
237461,2531,881,1444,1698,188,62,6701,
