"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
359889,2571,4137,23528,4580,1341,926,35585,1
974254,23237,11274,15922,12397,4078,3574,111102,
333097,37731,14545,45494,8822,5796,2505,89763,
638997,69177,9100,80766,27250,5664,3652,62698,
907022,7753,2218,16870,3539,797,638,30540,
1024004,27245,38068,11649,19912,11594,4893,30226,
1537481,13039,16114,18773,74591,11270,5205,162773,
701309,3015,1459,7295,2926,987,579,7668,
2526244,22696,11073,24937,17937,3765,1543,40485,
64706,6118,11800,20419,20200,5537,3046,70653,
344770,7636,2487,2673,4653,2177,457,24205,
1916527,11868,15110,25952,24092,8552,3290,34674,
1180486,14206,21302,41805,4994,5630,2252,172378,
415632,7000,4536,13589,9338,2202,523,26192,
1556344,14399,3283,7656,14994,1993,825,56712,
567809,10287,53949,154268,29295,10225,7829,147781,
677554,53090,16348,10508,25892,4344,5214,311106,
651670,2598,7275,9583,14831,2900,2304,60617,
531342,22383,9944,44374,9037,4627,7486,128201,
265001,31298,60239,26146,19512,10558,3491,66364,
246592,4002,19145,5186,11638,5662,3911,80534,
153773,6911,17498,61812,43539,5556,959,155067,
394973,18065,13138,21987,23170,1821,1495,68672,
741012,21558,18641,35628,62358,6700,6217,124343,
630856,23927,10919,23616,12731,21271,3238,164644,
134379,980,1397,1909,1095,304,347,6453,
390949,6765,6295,23018,8142,2267,922,46998,
86658,3320,7539,5509,6488,2550,2244,46558,
428422,18639,8485,27343,11671,7193,1862,25146,
225210,11243,9592,20560,17303,7258,1958,118219,
