"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
1230916,6291,4373,13019,3815,1100,1369,27900,2
181314,12058,21386,17448,20882,3013,1417,21740,
698398,24160,17953,22672,23285,7580,6332,51576,
769201,70839,13111,26304,35258,13834,6066,54442,
1072537,4039,8318,14666,13371,4592,700,31389,
1357658,32575,36119,41070,23953,13085,2165,26911,
660946,13802,13687,39429,14184,3280,1046,40495,
2346498,23998,48007,170927,13745,14146,2852,143192,
122860,2459,6032,2088,2839,804,192,20193,
1828403,4097,15283,3051,8009,2583,711,4811,
862631,13214,23126,8253,21664,4546,1810,122095,
1639517,20633,15343,28025,27018,5548,1620,103634,
367929,9284,5580,8768,8507,2302,363,22434,
504022,4214,6353,4258,1535,964,287,31855,
3115450,43484,30244,16296,17845,4123,5816,154202,
541401,3149,8123,6983,5425,1898,2334,133738,
886592,21811,47000,47271,84384,13682,2795,207881,
2820953,161124,91742,398364,277713,31597,12109,287492,
1464139,114808,132076,22592,82318,21570,16162,299398,
595017,11395,13103,45940,10465,11859,6189,226128,
1513721,4784,12786,40388,12697,4197,1015,47654,
665238,13931,8075,18159,8442,1934,1323,117724,
821251,17681,52234,27034,26478,5988,4632,55006,
385569,31989,14151,27168,15336,3361,650,322115,
1261909,7436,20746,5932,23895,5400,2849,144582,
328805,5388,6094,16168,1491,1540,636,32226,
2287455,147180,199904,150543,110108,28154,13089,756297,
671382,8979,35297,15883,27979,5994,1948,677073,
188193,18377,31945,51417,23935,4902,3041,274717,
411730,25309,35219,80040,36492,6740,3451,257986,
