"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
2300989,10656,32859,10847,58393,32990,3650,377249,2
422934,4569,10383,16003,6722,3696,1066,90177,
2027065,38997,33370,90142,28845,19834,5760,48925,
526554,1785,1439,654,1954,1576,166,5876,
148735,1463,1215,486,2244,833,239,11745,
1796130,36037,14855,107645,18921,3452,1260,57540,
1206442,7778,15246,21780,3502,3018,3173,56094,
637149,190242,476675,418722,168468,43326,6821,764821,
3008504,25457,18958,36708,45530,3637,3424,54703,
201290,3066,6238,3649,7626,1265,781,41638,
749822,79656,47043,38093,29941,31209,8808,96443,
1674279,27771,22388,19376,129819,4793,3340,229767,
660457,1200,2647,4622,10315,2270,1074,19438,
571810,10234,10547,16701,18029,29453,3164,112242,
134529,1925,606,3864,2971,491,569,23432,
1055946,6978,15119,4872,20536,14813,931,55733,
354494,1360,2205,3446,2121,1831,397,22752,
587819,93325,33240,104507,57959,8190,3035,300463,
135747,726,1773,1520,1458,2348,419,34253,
167482,6950,19913,1481,23701,12860,2989,32423,
676522,13702,16382,12173,30121,4218,1751,73822,
240794,2199,2835,1135,9948,2648,1002,11237,
460387,15485,9684,15417,18462,4095,4750,343911,
872504,14564,2349,30595,9916,817,1133,45558,
229175,2999,866,15867,7055,2521,1267,35168,
717046,5875,3225,6559,3451,1613,907,30178,
88027,12415,20474,64375,33571,5137,3309,409275,
638137,31917,8350,12102,42556,3310,5128,342552,
914895,544,1954,13613,6872,755,766,43833,
1088698,17974,161705,11321,11473,77037,60991,153249,
