"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
234913,15538,1408,17126,3563,1937,848,22152,2
625288,23825,4818,13366,3927,2098,1384,67168,
1321397,101288,92028,37540,90625,24890,2528,473833,
992761,4603,3001,10727,3722,3145,852,36185,
397462,15887,4802,17339,18914,1627,959,19382,
810262,130717,41861,110277,79955,35441,16994,179667,
608361,7534,2039,9173,2298,1836,636,23519,
54583,1921,721,2789,2898,508,471,8968,
359456,5127,1740,10425,4906,975,356,29504,
891453,25783,19391,71297,10456,17607,9146,208305,
655649,26300,17397,75991,84769,11348,4506,68520,
224996,6301,2586,3450,4517,966,403,37346,
742123,48068,15179,37065,26106,7762,2492,139281,
1134791,42106,27556,107246,62487,24680,4649,132380,
726343,46703,88613,56295,40061,8080,2999,321241,
1155413,112093,268822,36164,89264,250600,188560,742212,
1125283,21143,12709,59095,8388,6526,2565,295001,
1518302,152906,45708,98461,102863,48872,38373,410507,
1050534,103581,156799,106849,9985,19049,5726,310652,
541452,15508,6683,3043,5839,7066,2691,23463,
1357589,21369,56956,21239,78741,12938,7221,235179,
106946,6465,749,5002,618,340,267,49089,
1568497,126488,25758,44860,28218,9668,3238,667628,
637642,124107,99611,79879,215508,6829,6983,256379,
381952,20881,52080,18597,55879,13993,5123,222098,
728479,37338,24854,14137,25988,5474,1108,56839,
273993,9775,2324,9906,5993,1823,441,38040,
305905,152982,20887,146210,49764,5926,1191,199342,
415927,4136,2186,1858,5333,3147,1468,6388,
1648625,38413,37360,69889,47568,19223,10515,140378,
